1.0,-0.0041,1.0,-0.0041
1.0,-0.0041,1.1,-0.0041
1.1,-0.0041,1.2,-0.0041
1.2,-0.0041,1.0,-0.0041
1.0,-0.0041,0.8,-0.0041
0.8,-0.0041,0.95,-0.0041
0.95,-0.0041,0.8,-0.0041
0.8,-0.0041,0.95,-0.0041
0.95,-0.0041,1.2,-0.0041
1.2,-0.0041,0.8,-0.0041
0.8,-0.0041,1.05,-0.0041
1.05,-0.0041,1.1,-0.0041
1.1,-0.0041,0.95,-0.0041
0.95,-0.0041,0.95,-0.0041
0.95,-0.0041,0.95,-0.0041
0.95,-0.0041,1.2,-0.0041
1.2,-0.0041,1.05,-0.0041
1.05,-0.0041,1.0,-0.0041
1.0,-0.0041,1.0,-0.0041
1.0,-0.0041,1.1,-0.0041
1.1,-0.004096,1.2,-6.1935
1.0,-12.9319,1.0,-12.9319
1.0,-13.507,1.0,-13.507
1.0,-14.0927,1.0,-14.0927
1.2,-6.1935,0.95,-126.8897
1.0,-12.9319,1.0,-149.8903
1.0,-13.507,1.2,-153.288
1.0,-14.0927,0.95,-148.8422
0.95,-126.8897,0.8,-307.2634
1.0,-149.8903,0.8,-358.7476
1.2,-153.288,1.2,-454.6096
0.95,-148.8422,1.2,-461.7722
0.8,-307.2634,1.1,-687.0534
0.8,-358.7476,0.8,-581.312
1.2,-454.6096,1.2,-917.5767
1.2,-461.7722,1.05,-927.7407
1.1,-687.05,0.95,-1016.2
0.8,-581.31,1.0,-849.05
1.2,-917.58,0.8,-1064.7
1.05,-927.74,0.8,-1068.4
1.0,-849.0514,1.0,-970.8152
0.8,-1068.4,1.2,-1457.5
0.95,-1016.2,0.95,-1046.0
0.8,-1064.7,0.95,-1152.7
1.0,-970.82,0.8,-776.07
0.95,-1152.7,1.0,-1152.4
1.2,-1457.5,1.05,-1518.1
0.8,-776.0738,0.95,-737.1829
0.95,-1046.0,1.2,-1255.5
1.0,-1152.4,1.0,-1153.2
1.05,-1518.1,1.0,-1518.1
0.95,-737.1829,1.1,-810.5388
1.2,-1255.5,1.1,-1381.4
1.0,-1153.2,1.0,-1153.6
1.0,-1518.1,1.05,-1518.1
1.1,-810.5388,1.0,-810.6088
1.1,-1381.4,1.0,-1380.1
1.0,-810.6088,1.2,-973.4482
1.0,-1380.1,1.0,-1380.5
1.2,-973.45,0.8,-778.32
1.0,-1153.6,1.0,-1152.4
1.05,-1518.1,1.0,-1518.1
0.8,-778.32,1.1,-856.49
1.0,-1518.1,0.8,-1214.0
1.1,-856.4861,1.2,-1028.087
1.0,-1380.5,1.0,-1380.8
1.0,-1152.4,0.95,-1096.0
0.95,-1096.0,0.8,-876.04
0.8,-1214.0,0.95,-1153.4
1.2,-1028.1,1.05,-1080.5
1.0,-1380.8,1.2,-1517.6
1.05,-1080.5,1.2,-1296.6
0.8,-876.04,1.0,-876.2
0.95,-1153.4,0.8,-921.93
1.0,-876.2,1.2,-1051.0
0.8,-921.93,1.1,-1014.3
1.2,-1517.6,1.0,-1517.6
1.2,-1051.0,1.05,-1104.1
1.1,-1014.3,1.2,-1218.2
1.2,-1296.6,1.0,-1296.8
1.05,-1104.1,1.1,-1214.8
1.2,-1218.2,1.1,-1339.9
1.0,-1517.6,1.2,-1517.6
1.0,-1296.8,1.05,-1362.1
1.1,-1214.8,1.1,-1336.2
1.1,-1339.9,1.0,-1340.7
1.0,-1340.7,0.95,-1273.2
1.2,-1517.6,0.95,-1442.6
1.05,-1362.1,0.95,-1293.6
1.1,-1336.2,1.0,-1337.1
0.95,-1273.2,1.0,-1272.3
0.95,-1442.6,0.8,-1153.2
0.95,-1293.6,1.05,-1357.5
1.0,-1272.3,0.95,-1209.3
0.8,-1153.2,1.05,-1210.5
1.0,-1337.1,1.0,-1336.3
1.05,-1357.5,1.1,-1494.6
0.95,-1209.3,1.2,-1451.9
1.05,-1210.5,1.2,-1454.5
1.1,-1494.6,1.1,-1518.4
1.0,-1336.3,0.8,-1068.9
1.2,-1451.9,1.05,-1518.9
1.2,-1454.5,0.95,-1381.4
1.1,-1518.4,1.1,-1518.9
0.8,-1068.9,0.95,-1015.5
1.05,-1518.9,1.2,-1518.9
0.95,-1381.4,1.0,-1380.4
1.1,-1518.9,0.95,-1441.5
0.95,-1015.5,1.0,-1015.5
1.2,-1518.9,1.0,-1518.1
1.0,-1380.4,0.8,-1104.1
1.0,-1518.1,0.8,-1214.0
0.8,-1214.0,0.8,-970.65
0.95,-1441.5,1.0,-1441.7
1.0,-1015.5,1.0,-1015.0
0.8,-1104.1,1.05,-1159.3
1.0,-1441.7,1.1,-1517.8
1.05,-1159.3,0.8,-927.26
0.8,-970.65,1.1,-1068.7
1.0,-1015.0,1.0,-1014.4
1.1,-1517.8,1.2,-1518.6
0.8,-927.26,1.05,-974.13
1.1,-1068.7,1.05,-1121.1
1.0,-1014.4,1.1,-1117.2
1.2,-1518.6,1.0,-1518.6
1.1,-1117.2,0.95,-1060.8
1.05,-974.13,1.2,-1168.2
1.0,-1518.6,0.8,-1213.8
0.95,-1060.8,1.2,-1273.7
1.05,-1121.1,0.8,-897.37
0.8,-1213.8,1.2,-1457.4
1.2,-1168.2,0.95,-1110.9
1.2,-1273.7,1.05,-1337.0
0.8,-897.37,1.1,-986.44
0.95,-1110.9,1.0,-1110.5
1.2,-1457.4,1.1,-1518.9
1.05,-1337.0,1.0,-1337.4
1.0,-1337.4,1.1,-1471.7
1.1,-986.4409,1.1,-1085.3572
1.0,-1110.5,1.1,-1221.8
1.1,-1518.9,0.95,-1442.3
1.1,-1471.7,1.1,-1518.0
1.1,-1518.0,0.95,-1441.9
1.1,-1085.4,1.1,-1193.7
1.1,-1221.8,0.95,-1160.8
0.95,-1442.3,1.2,-1518.0
0.95,-1441.9,1.0,-1442.1
1.1,-1193.7,0.8,-954.93
0.95,-1160.8,0.95,-1102.0
1.2,-1518.0,0.8,-1213.9
1.0,-1442.1,0.95,-1369.9
0.8,-954.93,1.1,-1051.5
0.95,-1102.0,1.0,-1101.7
0.8,-1213.9,0.8,-971.03
0.95,-1369.9,1.0,-1370.0
1.1,-1051.5,1.05,-1103.7
0.8,-971.03,0.8,-776.22
0.8,-776.2175,0.95,-737.4924
1.0,-1101.7,0.95,-1046.6
1.0,-1370.0,1.1,-1507.5
1.05,-1103.7,1.2,-1324.4
0.95,-1046.6,0.95,-993.99
0.95,-737.4924,1.1,-810.8591
1.1,-1507.5,1.05,-1518.5
1.2,-1324.4,1.05,-1391.3
0.95,-993.99,1.0,-994.53
1.05,-1391.3,1.2,-1518.1
1.1,-810.8591,1.0,-811.0394
1.2,-1518.1,1.2,-1518.0
1.0,-811.0394,1.0,-811.6905
1.05,-1518.5,1.0,-1518.5
1.2,-1518.0,0.95,-1442.4
1.0,-994.5347,1.0,-993.9456
1.0,-811.6905,1.2,-973.5924
1.2,-973.5924,1.0,-973.7006
1.0,-973.7,1.1,-1071.6
1.0,-1518.5,0.95,-1443.0
0.95,-1442.4,1.05,-1514.5
1.0,-993.95,1.05,-1044.8
1.1,-1071.6,0.8,-856.72
0.95,-1443.0,0.8,-1153.6
1.05,-1514.5,1.2,-1518.3
0.8,-856.72,0.8,-684.66
1.05,-1044.8,1.1,-1148.7
0.8,-1153.6,1.0,-1153.2
1.2,-1518.3,0.8,-1214.8
1.1,-1148.7,1.1,-1263.7
0.8,-684.6581,1.0,-684.9288
1.0,-1153.2,0.95,-1095.5
0.8,-1214.8,1.1,-1335.2
1.1,-1263.7,0.95,-1200.2
1.0,-684.9288,1.1,-753.9192
0.95,-1095.5,1.1,-1205.2
1.1,-1335.2,1.0,-1336.1
0.95,-1200.2,1.0,-1200.7
1.0,-1336.1,1.0,-1335.3
1.1,-753.9192,1.0,-753.7238
1.1,-1205.2,1.0,-1204.1
1.0,-1200.7,0.8,-959.98
1.0,-1204.1,0.95,-1145.0
1.0,-1335.3,0.95,-1268.7
1.0,-753.7238,0.8,-602.498
0.8,-959.98,0.95,-911.49
0.95,-1145.0,0.8,-915.82
0.95,-1268.7,0.8,-1014.2
0.8,-602.498,1.0,-602.2227
1.0,-602.2227,0.95,-572.2039
0.8,-915.82,1.2,-1098.2
0.95,-572.2039,1.2,-686.9044
0.95,-911.49,1.1,-1003.2
0.8,-1014.2,1.05,-1064.9
1.2,-686.9044,1.0,-686.6753
1.2,-1098.2,1.1,-1209.8
1.05,-1064.9,1.1,-1172.2
